"","Key performance property","Outcome","Range of attributable outcome variation"
"1","Cycle coverage [70 - 95%]","CLINICAL INCIDENCE","5% to 12%"
"2","Cycle coverage [70 - 95%]","PREVALENCE","1% to 4%"
"3","Cycle coverage [70 - 95%]","SEVERE DISEASE","6% to 18%"
"4","Cycle coverage [70 - 95%]","MORTALITY","5% to 20%"
"5","Elimination half-life [1 - 20 days]","CLINICAL INCIDENCE","51% to 77%"
"6","Elimination half-life [1 - 20 days]","PREVALENCE","15% to 74%"
"7","Elimination half-life [1 - 20 days]","SEVERE DISEASE","39% to 70%"
"8","Elimination half-life [1 - 20 days]","MORTALITY","30% to 71%"
"9","Emax [2 - 30 units]","CLINICAL INCIDENCE","0% to 15%"
"10","Emax [2 - 30 units]","PREVALENCE","1% to 41%"
"11","Emax [2 - 30 units]","SEVERE DISEASE","0% to 7%"
"12","Emax [2 - 30 units]","MORTALITY","0% to 10%"
"13","Round coverage [70 - 95%]","CLINICAL INCIDENCE","14% to 34%"
"14","Round coverage [70 - 95%]","PREVALENCE","18% to 63%"
"15","Round coverage [70 - 95%]","SEVERE DISEASE","18% to 50%"
"16","Round coverage [70 - 95%]","MORTALITY","17% to 63%"
"17","Slope [6 - 6]","CLINICAL INCIDENCE","0% to 1%"
"18","Slope [6 - 6]","PREVALENCE","0% to 1%"
"19","Slope [6 - 6]","SEVERE DISEASE","0% to 1%"
"20","Slope [6 - 6]","MORTALITY","0% to 1%"
