Scenario_Name	EIR	Coverage	IC50	Halflife	MaxKillingRate	Slope	SEED
iTPP3_ChemoBlood_replication_1	350	0	0.020831339	14.6038404047126	26.6323569911198	6.50002997301706	1
iTPP3_ChemoBlood_replication_2	350	1	0.020831339	14.6038404047126	26.6323569911198	6.50002997301706	1
iTPP3_ChemoBlood_replication_3	350	0	0.020831339	14.1192783302733	10.1970694692054	1.90034324950966	1
iTPP3_ChemoBlood_replication_4	350	1	0.020831339	14.1192783302733	10.1970694692054	1.90034324950966	1
iTPP3_ChemoBlood_replication_5	350	0	0.020831339	3.85334230532016	3.64275641193305	2.48831890018851	1
iTPP3_ChemoBlood_replication_6	350	1	0.020831339	3.85334230532016	3.64275641193305	2.48831890018851	1
iTPP3_ChemoBlood_replication_7	350	0	0.020831339	8.52195538859161	26.8159225014802	7.98046615203248	1
iTPP3_ChemoBlood_replication_8	350	1	0.020831339	8.52195538859161	26.8159225014802	7.98046615203248	1
iTPP3_ChemoBlood_replication_9	350	0	0.020831339	10.6352676621404	21.0300238181944	5.03815395368546	1
iTPP3_ChemoBlood_replication_10	350	1	0.020831339	10.6352676621404	21.0300238181944	5.03815395368546	1
iTPP3_ChemoBlood_replication_11	350	0	0.020831339	15.8206093219348	23.7904130602885	4.05796858003735	1
iTPP3_ChemoBlood_replication_12	350	1	0.020831339	15.8206093219348	23.7904130602885	4.05796858003735	1
iTPP3_ChemoBlood_replication_13	350	0	0.020831339	11.7353436211556	22.6656111657642	7.98726616504864	1
iTPP3_ChemoBlood_replication_14	350	1	0.020831339	11.7353436211556	22.6656111657642	7.98726616504864	1
iTPP3_ChemoBlood_replication_15	350	0	0.020831339	14.3249987713716	15.4361828040267	4.66228751262796	1
iTPP3_ChemoBlood_replication_16	350	1	0.020831339	14.3249987713716	15.4361828040267	4.66228751262796	1
iTPP3_ChemoBlood_replication_17	350	0	0.020831339	12.3407735398348	25.93139127981	5.39707359153849	1
iTPP3_ChemoBlood_replication_18	350	1	0.020831339	12.3407735398348	25.93139127981	5.39707359153849	1
iTPP3_ChemoBlood_replication_19	350	0	0.020831339	19.4945056257505	17.000296706928	5.598546142541	1
